Store Number,Store Name,Address,City Name,Province Name,Postal Code,Banner Name,Store Status
2255,Store 2255,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2263,Store 2263,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2267,Store 2267,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0983,Store 0983,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0937,Store 0937,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0940,Store 0940,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0961,Store 0961,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0993,Store 0993,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2219,Store 2219,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2241,Store 2241,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2244,Store 2244,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2246,Store 2246,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2254,Store 2254,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0988,Store 0988,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2248,Store 2248,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0921,Store 0921,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0923,Store 0923,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0924,Store 0924,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,INACTIVE
0973,Store 0973,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2250,Store 2250,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2285,Store 2285,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0956,Store 0956,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
