product,upc,vendor,brand,category,subcategory,item_size,item_unit,pack_qty
Cott Pop Up Lemon Lime 2L 2000 Ml,00006150001153,REFRESCO NORTH AMERICA,COTT,CARBONATED SOFT DRINKS,Flavoured,2000,ml,1
Fanta Soda Orange 330 Ml,00890176403125,COCA COLA,FANTA,CARBONATED SOFT DRINKS,Ethnic,1980,ml,6
Pepsi Caffeine Free Diet 355Ml 355 Ml,00006900021425,PEPSICO,PEPSI CAFFEINE FREE DIET,CARBONATED SOFT DRINKS,Cola,2130,ml,6
Popshopp Grape 355 Ml,00018000901006,REFRESCO NORTH AMERICA,POP SHOPPE,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Auralis Relaxed Reishi 355 Ml,00062805577282,BOREAL BOTANICAL BREWING,BOREAL BOTANICAL,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Pepsi Throwback 355 Ml,00006900002088,PEPSICO,PEPSI,CARBONATED SOFT DRINKS,Cola,2130,ml,6
Incakola Soft Drink 2000 Ml,00004900003728,CONTINENTAL FOOD BEVERAGE,INCA KOLA,CARBONATED SOFT DRINKS,Ethnic,2000,ml,1
Barqs Spiced Cherry 355 Ml,00006700001916,COCA COLA,BARQS,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Favuzzi Soda Mandarines 275 Ml,00083266101045,FAVUZZI INTERNATIONAL,FAVUZZI,CARBONATED SOFT DRINKS,Tonic And Ales,1650,ml,6
Gurds Mixers Ginger Beer 1000 Ml,00005749602148,STATION 22,GURDS,CARBONATED SOFT DRINKS,Tonic And Ales,1000,ml,1
Fentiman Cola Cherry 275 Ml,00502939601026,FENTIMANS,FENTIMANS,CARBONATED SOFT DRINKS,Cola,1650,ml,6
Mountain Dew Zero Sugar 355 Ml,00006900016859,PEPSICO,MOUNTAIN DEW,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Cocacola Cherry 355 Ml,00006700001724,COCA COLA,CHERRY COKE,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Sumol Drink Passionfruit 330 Ml,00560115198929,SUMOL,SUMOL,CARBONATED SOFT DRINKS,Ethnic,1980,ml,6
Uber/Seven Up Diete 591 Ml,00022345801000,OTHER MANUFACTURER,OTHER BRAND,CARBONATED SOFT DRINKS,Flavoured,3546,ml,6
Canaddry Tonc Water 355 Ml,00006210001244,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,2130,ml,6
Crush Orange Diet 591Ml 591 Ml,00005600001568,PEPSICO,CRUSH,CARBONATED SOFT DRINKS,Flavoured,3546,ml,6
Canaddry Gingerale Diet 355Ml 355 Ml,00006210001241,COCA COLA,CANADA DRY,CARBONATED SOFT DRINKS,Tonic And Ales,2130,ml,6
Cott Pop Orange 8X2L 2000.00 Ml,00006150001093,REFRESCO NORTH AMERICA,COTT,CARBONATED SOFT DRINKS,Flavoured,2000,ml,1
Budrmgin Beer Gngr Nonalch R/S 250 Ml,00085760501510,STAR MARKETING,BUDERIM GINGER,CARBONATED SOFT DRINKS,Flavoured,1500,ml,6
Pepsi Zero Sugar 355 Ml,00006900016900,PEPSICO,PEPSI ZERO,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Favuzzi Tea Peach & Cantaloupe 275 Ml,00083266101047,FAVUZZI INTERNATIONAL,FAVUZZI,CARBONATED SOFT DRINKS,Tonic And Ales,1650,ml,6
Dads Cream Soda 355Ml 355 Ml,00083362701351,DADS SODA,DADS,CARBONATED SOFT DRINKS,Specialty,2130,ml,6
Big8 Soda Cola 591Ml 591 Ml,00000000003676,PRIVATE LABEL,BIG 8,CARBONATED SOFT DRINKS,Cola,3546,ml,6
Comp Cranberry Ginger Ale 355 Ml,00005574252154,PRIVATE LABEL,COMPLIMENTS,CARBONATED SOFT DRINKS,Tonic And Ales,2130,ml,6
Dandypop Drink Sour Peach 355 Ml,00062850424960,DANDY BREWING,DANDY,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Minhascr Cream Soda 330 Ml,00008526841491,MINHAS MICRO BREWERY,MINHAS,CARBONATED SOFT DRINKS,Ethnic,1980,ml,6
National Pakola Cream Soda 250 Ml,00896400067092,PAK NATIONAL FOODS,NATIONAL,CARBONATED SOFT DRINKS,Ethnic,1500,ml,6
Soca Green Bubble Gum 400 Ml,00501439631270,SOCA,SOCA,CARBONATED SOFT DRINKS,Ethnic,2400,ml,6
Dandypop Crm Soda Chrry Vanill 355 Ml,00062850424954,DANDY BREWING,DANDY,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Minhascr Cream Soda Orange 330 Ml,00008526841485,MINHAS MICRO BREWERY,MINHAS,CARBONATED SOFT DRINKS,Ethnic,1980,ml,6
Minhascr Soda Root Beer 330 Ml,00008526841488,MINHAS MICRO BREWERY,MINHAS,CARBONATED SOFT DRINKS,Ethnic,1980,ml,6
Sumol Drink Pineapple 330 Ml,00560115198928,SUMOL,SUMOL,CARBONATED SOFT DRINKS,Ethnic,1980,ml,6
Cott Pop Cream Soda 2L 2000 Ml,00006150001028,REFRESCO NORTH AMERICA,COTT,CARBONATED SOFT DRINKS,Specialty,2000,ml,1
Orangina Soft Drink Can 330 Ml,00084981901106,KEURIG DR PEPPER,ORANGINA,CARBONATED SOFT DRINKS,Flavoured,1980,ml,6
